date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:18:32	2787/2787	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/icon/feature_1_2.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/feature_1_2.svg	(from https://mainfolder.com/index.html)
17:18:32	1539663/1539663	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/hero/2.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/hero/2.jpg	(from https://mainfolder.com/index.html)
17:18:32	5257/5257	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:30%20GMT	https://mainfolder.com/assets/img/icon/feature_1_3.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/feature_1_3.svg	(from https://mainfolder.com/index.html)
17:18:32	90181/90181	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/Learning%20Labs.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/Learning%20Labs.jpg	(from https://mainfolder.com/index.html)
17:18:33	135387/135387	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/Performing%20Arts.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/Performing%20Arts.jpg	(from https://mainfolder.com/index.html)
17:18:33	146036/146036	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/Visual%20Arts.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/Visual%20Arts.jpg	(from https://mainfolder.com/index.html)
17:18:33	153310/153310	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/Extended%20Day%20Care.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/Extended%20Day%20Care.jpg	(from https://mainfolder.com/index.html)
17:18:33	172269/172269	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/Student%20meal%20Plan.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/Student%20meal%20Plan.jpg	(from https://mainfolder.com/index.html)
17:18:34	116649/116649	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/Student%20Health.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/Student%20Health.jpg	(from https://mainfolder.com/index.html)
17:18:34	122107/122107	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/School%20Cinema.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/School%20Cinema.jpg	(from https://mainfolder.com/index.html)
17:18:34	120722/120722	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:28%20GMT	https://mainfolder.com/assets/img/category/Sports%20&%20Games.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/category/Sports%20&%20Games.jpg	(from https://mainfolder.com/index.html)
17:18:34	187454/187454	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:32%20GMT	https://mainfolder.com/assets/img/normal/about_1_1.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/normal/about_1_1.jpg	(from https://mainfolder.com/index.html)
17:18:34	91132/91132	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:32%20GMT	https://mainfolder.com/assets/img/normal/about_1_2.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/normal/about_1_2.jpg	(from https://mainfolder.com/index.html)
17:18:35	123770/123770	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202026%2008:58:32%20GMT	https://mainfolder.com/assets/img/normal/about_1_3.jpg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/normal/about_1_3.jpg	(from https://mainfolder.com/index.html)
17:18:35	1147/1147	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2016%20Jun%202026%2008:58:31%20GMT	https://mainfolder.com/assets/img/icon/map3.svg	C:/My%20Web%20Sites/Jain2/mainfolder.com/assets/img/icon/map3.svg	(from https://mainfolder.com/index.html)
